100, 0.005
200, 0.043
300, 0.139
400, 0.330
500, 0.660
600, 1.133
700, 1.819
800, 2.720
900, 3.871
1000, 5.540
1100, 7.401
1200, 9.477
1300, 12.939
1400, 15.808
1500, 20.358
1600, 31.304
1700, 32.535
1800, 37.874
1900, 44.800
2000, 51.728
